id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url
149,America’s Army: Proving Grounds,https://www.mmobomb.com/g/149/thumbnail.jpg,America's Army: Proving Grounds offers players the most realistic military experience available.,https://www.mmobomb.com/open/americas-army,Shooter,PC (Windows),U.S. Army,U.S. Army,2015-10-01,https://www.mmobomb.com/americas-army
346,One Piece Online 2,https://www.mmobomb.com/g/346/thumbnail.jpg,"One Piece Online 2: Pirate King is a free-to-play, browser-based 2D MMORPG based on the immensely popular One Piece franchise that follows Luffy and his friends on his quest to become the Pirate King. In this turn-based game, players initially meet their guides, some of the more popular One Piece characters, and set off to find Luffy.",https://www.mmobomb.com/open/one-piece-online-2,MMORPG,Web Browser,JoyGames,JoyGames,2015-09-25,https://www.mmobomb.com/one-piece-online-2
383,Legends of Honor,https://www.mmobomb.com/g/383/thumbnail.jpg,"Goodgames' Legends of Honor is a free-to-play browser MMORTS game that puts players in charge of sprawling medieval kingdoms and lets them engage in fierce struggles for territory and glory. Harvest resources, levy taxes, build up your armies, recruit valiant heroes, join an alliance, and invade your enemies, but beware!",https://www.mmobomb.com/open/legends-of-honor,Strategy,Web Browser,Goodgame Empire,Goodgame Studios,2015-08-20,https://www.mmobomb.com/legends-of-honor
384,Felspire,https://www.mmobomb.com/g/384/thumbnail.jpg,"In 37 Games' newest title, you'll cut your way through endless hordes of demons and other cursed beasts as you seek to unravel the mysteries of the ancient and mysterious Felspire. Choose from one of three characters and choose from over 100,000 outfits to make your mark on the world and carve your name alongside the gods themselves.",https://www.mmobomb.com/open/felspire,MMORPG,Web Browser,37Games,37Games Entertainment,2015-08-07,https://www.mmobomb.com/felspire
152,WARMODE,https://www.mmobomb.com/g/152/thumbnail.jpg,"Imagine this you are stuck in a world defined by two confrontational, irreconcilable sides; represented by the government military housings, and the armed hirelings. Try your hand at virtual battles with fast paced gameplay and off-scale dynamics in the spirit of all classic shooter games before.",https://www.mmobomb.com/open/warmode,Shooter,PC (Windows),WARTEAM,WARTEAM,2015-08-26,https://www.mmobomb.com/warmode
154,Sphere 3: Enchanted World,https://www.mmobomb.com/g/154/thumbnail.jpg,Sphere III: Enchanted World is a 3D fantasy action MMORPG that was published by Nikita Online. Use the game’s unique non-target combat system and participate in the PvP that is a strong focus in Sphere III.,https://www.mmobomb.com/open/sphere-3,MMORPG,PC (Windows),NIKITA ONLINE,NIKITA ONLINE,2015-08-18,https://www.mmobomb.com/sphere-3
157,Fishing Planet,https://www.mmobomb.com/g/157/thumbnail.jpg,"The core focus of Fishing Planet is providing players with a peaceful environment that they can relax in while waiting for that big catch. With seven locations and an array of weather conditions to take advantage of, Fishing Planet offers a unique experience in player interaction.",https://www.mmobomb.com/open/fishing-planet,Sports,PC (Windows),Fishing Planet LLC,Fishing Planet LLC,2015-08-11,https://www.mmobomb.com/fishing-planet
8,Trove,https://www.mmobomb.com/g/8/thumbnail.jpg,Trove is a Voxel-based MMO from Trion Worlds that generates exciting new worlds on a regular basis.,https://www.mmobomb.com/open/trove,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2015-07-09,https://www.mmobomb.com/trove
386,Aberoth,https://www.mmobomb.com/g/386/thumbnail.jpg,"Adventure, magic, and fantasy await you in Aberoth, a free-to-play MMORPG crafted in the retro graphics of days gone by! Don’t let the graphics fool you, though, for Aberoth offers much to players who dare to embark on the path it offers.",https://www.mmobomb.com/open/aberoth, MMORPG,Web Browser,Jarbit,Jarbit,2015-07-17,https://www.mmobomb.com/aberoth
159,Codename CURE,https://www.mmobomb.com/g/159/thumbnail.jpg,"The undead prowl the maps in search of flesh in Codename CURE, a free to play MMOFPS with objective based missions set against the backdrop of a zombie apocalypse. Taking a leaf from Team Fortress 2’s book, Codename CURE gives players access to five different classes to play as, each with their own strengths and weakness against the zombie hordes.",https://www.mmobomb.com/open/codename-cure,Shooter,PC (Windows),Hoobalugalar_X,Hoobalugalar_X,2015-07-18,https://www.mmobomb.com/codename-cure
